Entry_Date,Entry_Time,Exit_Date,Exit_Time,Underlying_Symbol,Strategy_Direction,Underlying_Entry_Price,Underlying_Exit_Price,Option_Symbol,Option_Strike,Option_Type,Option_Entry_Price,Option_Exit_Price,Entry_Fair_Value,Exit_Fair_Value,Entry_Limit_Price,Exit_Limit_Price,Entry_Spread_Pct,Exit_Spread_Pct,Entry_Quote_Source,Exit_Quote_Source,Entry_Pricing_Mode,Exit_Pricing_Mode,Entry_Repriced,Exit_Repriced,Entry_Slippage_vs_Fair,Exit_Slippage_vs_Fair,Qty,PnL,Trade_ID
2026-04-07,14:08:33,2026-04-07,14:08:41,NIFTY,BUY,23012.4,23012.05,NIFTY07APR2623000CE,23000.0,CE,53.4,52.5,55.0,50.0,55.0,50.0,0.003752,0.002853,ws,ws,book_ladder,book_ladder,False,False,-1.6,2.5,65,-58.5,strategy_S9-149:NIFTY:2026-04-07T14:08:33:LONG
2026-04-07,14:09:45,2026-04-07,14:10:09,NIFTY,BUY,23012.25,23009.95,NIFTY07APR2623000CE,23000.0,CE,52.7,51.0,55.0,50.0,55.0,50.0,0.00285,0.001959,ws,ws,book_ladder,book_ladder,False,False,-2.3,1.0,65,-110.5,strategy_S9-149:NIFTY:2026-04-07T14:09:45:LONG
2026-04-07,14:10:50,2026-04-07,14:11:15,NIFTY,SELL,23008.6,23005.05,NIFTY07APR2623050PE,23050.0,PE,67.7,70.95,70.0,70.0,70.0,70.0,0.002959,0.003517,ws,ws,book_ladder,book_ladder,False,False,-2.3,0.95,65,211.25,strategy_S9-149:NIFTY:2026-04-07T14:10:50:SHORT
2026-04-07,14:11:34,2026-04-07,14:11:42,NIFTY,BUY,23014.15,23010.45,NIFTY07APR2623000CE,23000.0,CE,51.9,51.9,55.0,50.0,55.0,50.0,0.001929,0.002886,ws,ws,book_ladder,book_ladder,False,False,-3.1,1.9,65,0.0,strategy_S9-149:NIFTY:2026-04-07T14:11:34:LONG
2026-04-07,14:13:08,2026-04-07,14:13:24,NIFTY,SELL,23000.9,22994.7,NIFTY07APR2623050PE,23050.0,PE,71.25,77.05,75.0,75.0,75.0,75.0,0.002107,0.002592,ws,ws,book_ladder,book_ladder,False,False,-3.75,2.05,65,377.0,strategy_S9-149:NIFTY:2026-04-07T14:13:08:SHORT
2026-04-07,14:14:24,2026-04-07,14:14:40,NIFTY,BUY,23006.0,23004.9,NIFTY07APR2623000CE,23000.0,CE,48.55,49.4,50.0,45.0,50.0,45.0,0.004128,0.002022,ws,ws,book_ladder,book_ladder,False,False,-1.45,4.4,65,55.25,strategy_S9-149:NIFTY:2026-04-07T14:14:24:LONG
2026-04-07,14:14:58,2026-04-07,14:15:29,NIFTY,BUY,23012.75,23019.2,NIFTY07APR2623000CE,23000.0,CE,51.05,55.1,55.0,55.0,55.0,55.0,0.00098,0.002719,ws,ws,book_ladder,book_ladder,False,False,-3.95,0.1,65,263.25,strategy_S9-149:NIFTY:2026-04-07T14:14:58:LONG
2026-04-07,14:16:00,2026-04-07,14:16:16,NIFTY,SELL,23016.4,23016.7,NIFTY07APR2623050PE,23050.0,PE,61.65,61.15,65.0,60.0,65.0,60.0,0.002436,0.001634,ws,ws,book_ladder,book_ladder,False,False,-3.35,1.15,65,-32.5,strategy_S9-149:NIFTY:2026-04-07T14:16:00:SHORT
2026-04-07,14:16:39,2026-04-07,14:16:48,NIFTY,BUY,23026.15,23018.55,NIFTY07APR2623000CE,23000.0,CE,55.45,54.95,60.0,50.0,60.0,50.0,0.002709,0.002726,ws,ws,book_ladder,book_ladder,False,False,-4.55,4.95,65,-32.5,strategy_S9-149:NIFTY:2026-04-07T14:16:39:LONG
2026-04-07,14:16:58,2026-04-07,14:17:15,NIFTY,SELL,23009.65,23001.25,NIFTY07APR2623050PE,23050.0,PE,63.1,72.85,65.0,70.0,65.0,70.0,0.00238,0.002742,ws,ws,book_ladder,book_ladder,False,False,-1.9,2.85,65,633.75,strategy_S9-149:NIFTY:2026-04-07T14:16:58:SHORT
2026-04-07,14:17:46,2026-04-07,14:18:06,NIFTY,BUY,23009.2,23008.7,NIFTY07APR2623000CE,23000.0,CE,46.95,47.15,50.0,45.0,50.0,45.0,0.0032,0.003176,ws,ws,book_ladder,book_ladder,False,False,-3.05,2.15,65,13.0,strategy_S9-149:NIFTY:2026-04-07T14:17:46:LONG
2026-04-07,14:18:35,2026-04-07,14:18:45,NIFTY,SELL,22998.8,23000.55,NIFTY07APR2623000PE,23000.0,PE,42.15,38.3,45.0,35.0,45.0,35.0,0.003565,0.001305,ws,ws,book_ladder,book_ladder,False,False,-2.85,3.3,65,-250.25,strategy_S9-149:NIFTY:2026-04-07T14:18:35:SHORT
2026-04-07,14:19:06,2026-04-07,14:19:19,NIFTY,SELL,22996.65,23000.5,NIFTY07APR2623000PE,23000.0,PE,40.45,38.95,45.0,35.0,45.0,35.0,0.003715,0.003844,ws,ws,book_ladder,book_ladder,False,False,-4.55,3.95,65,-97.5,strategy_S9-149:NIFTY:2026-04-07T14:19:06:SHORT
2026-04-07,14:19:40,2026-04-07,14:19:55,NIFTY,BUY,23003.5,23004.4,NIFTY07APR2623000CE,23000.0,CE,44.5,43.9,45.0,40.0,45.0,40.0,0.00225,0.003411,ws,ws,book_ladder,book_ladder,False,False,-0.5,3.9,65,-39.0,strategy_S9-149:NIFTY:2026-04-07T14:19:40:LONG
2026-04-07,14:20:24,2026-04-07,14:20:30,NIFTY,SELL,22998.7,23000.95,NIFTY07APR2623000PE,23000.0,PE,42.25,41.9,45.0,40.0,45.0,40.0,0.003557,0.003574,ws,ws,book_ladder,book_ladder,False,False,-2.75,1.9,65,-22.75,strategy_S9-149:NIFTY:2026-04-07T14:20:24:SHORT
